,DATE,OPEN,HIGH,LOW,CLOSE,VOL,HOUR
0,20210603,244.59,244.66,244.585,244.585,941,08:54:00
1,20210603,244.64,244.64,244.64,244.64,173,08:55:00
2,20210603,244.79,244.98,244.72,244.98,1575,08:56:00
3,20210603,245.075,245.14,245.04,245.1,1686,08:57:00
4,20210603,245.1,245.23,245.1,245.22,1048,08:58:00
5,20210603,245.28,245.37,245.24,245.37,920,08:59:00
6,20210603,245.385,245.54,245.385,245.42,1838,09:00:00
7,20210603,245.44,245.63,245.44,245.59,1838,09:01:00
8,20210603,245.61,245.93,245.61,245.93,1507,09:02:00
9,20210603,245.91,245.94,245.87,245.94,726,09:03:00
10,20210603,245.95,245.99,245.87,245.99,921,09:04:00
11,20210603,246.04,246.18,246.04,246.15,1216,09:05:00
12,20210603,246.06,246.3,246.06,246.3,1866,09:06:00
13,20210603,246.34,246.34,246.21,246.26,1246,09:07:00
14,20210603,246.29,246.29,246.07,246.07,1205,09:08:00
15,20210603,246.19,246.23,246.105,246.23,813,09:09:00
16,20210603,246.22,246.22,246.14,246.14,971,09:10:00
17,20210603,246.1,246.19,246.1,246.17,1061,09:11:00
18,20210603,246.25,246.25,246.165,246.165,481,09:12:00
19,20210603,246.12,246.13,246.06,246.06,1223,09:13:00
20,20210603,246.07,246.09,245.98,246.075,1309,09:14:00
21,20210603,246.12,246.12,245.99,245.99,297,09:15:00
22,20210603,245.96,245.96,245.87,245.905,1086,09:16:00
23,20210603,245.84,245.875,245.77,245.77,1375,09:17:00
24,20210603,245.84,245.84,245.84,245.84,236,09:18:00
25,20210603,245.75,245.79,245.75,245.77,601,09:19:00
26,20210603,245.67,245.77,245.61,245.77,1406,09:21:00
27,20210603,245.7,245.7,245.56,245.56,813,09:22:00
28,20210603,245.54,245.61,245.54,245.59,973,09:23:00
29,20210603,245.55,245.66,245.55,245.58,1784,09:24:00
30,20210603,245.57,245.77,245.57,245.73,712,09:25:00
31,20210603,245.7,245.7,245.7,245.7,308,09:26:00
32,20210603,245.54,245.6,245.51,245.51,747,09:27:00
33,20210603,245.59,245.67,245.59,245.66,623,09:28:00
34,20210603,245.75,245.75,245.62,245.64,1606,09:29:00
35,20210603,245.71,245.71,245.51,245.53,1016,09:30:00
36,20210603,245.5,245.51,245.495,245.51,464,09:31:00
37,20210603,245.46,245.49,245.41,245.47,1097,09:32:00
38,20210603,245.45,245.455,245.405,245.455,941,09:33:00
39,20210603,245.43,245.43,245.29,245.29,660,09:34:00
40,20210603,245.235,245.25,245.185,245.185,1126,09:35:00
41,20210603,245.15,245.24,245.14,245.24,698,09:36:00
42,20210603,245.315,245.315,245.11,245.11,1052,09:37:00
43,20210603,245.16,245.16,245.16,245.16,164,09:38:00
44,20210603,245.1,245.14,245.09,245.14,900,09:39:00
45,20210603,245.06,245.09,245.06,245.09,719,09:40:00
46,20210603,245.08,245.08,245.0,245.03,413,09:41:00
47,20210603,244.995,245.01,244.95,244.97,2659,09:42:00
48,20210603,244.96,245.03,244.94,245.0,1991,09:43:00
49,20210603,245.02,245.22,245.02,245.22,805,09:44:00
50,20210603,245.2,245.2,245.11,245.16,530,09:45:00
51,20210603,245.13,245.13,245.13,245.13,104,09:46:00
52,20210603,245.21,245.23,245.21,245.23,463,09:47:00
53,20210603,245.17,245.225,245.1,245.12,1771,09:48:00
54,20210603,245.04,245.11,245.0,245.11,1685,09:49:00
55,20210603,245.01,245.21,245.01,245.21,1056,09:50:00
56,20210603,245.22,245.22,245.09,245.095,4564,09:51:00
57,20210603,245.04,245.04,244.96,244.96,678,09:52:00
58,20210603,245.095,245.17,245.095,245.16,400,09:53:00
59,20210603,245.23,245.23,245.21,245.22,315,09:54:00
60,20210603,245.25,245.33,245.25,245.32,701,09:55:00
61,20210603,245.34,245.34,245.27,245.27,1201,09:56:00
62,20210603,245.305,245.36,245.26,245.36,728,09:57:00
63,20210603,245.41,245.41,245.33,245.33,375,09:58:00
64,20210603,245.39,245.43,245.39,245.43,1515,09:59:00
65,20210603,245.48,245.575,245.48,245.54,1292,10:00:00
66,20210603,245.52,245.52,245.52,245.52,302,10:01:00
67,20210603,245.4,245.49,245.36,245.49,1089,10:02:00
68,20210603,245.48,245.48,245.48,245.48,118,10:03:00
69,20210603,245.53,245.54,245.53,245.535,1004,10:04:00
70,20210603,245.58,245.58,245.42,245.44,553,10:05:00
71,20210603,245.44,245.48,245.44,245.48,230,10:06:00
72,20210603,245.44,245.44,245.43,245.43,518,10:07:00
73,20210603,245.66,245.71,245.66,245.69,700,10:09:00
74,20210603,245.61,245.61,245.585,245.585,400,10:10:00
75,20210603,245.54,245.56,245.54,245.56,317,10:11:00
76,20210603,245.485,245.485,245.485,245.485,664,10:12:00
77,20210603,245.575,245.575,245.575,245.575,171,10:13:00
78,20210603,245.48,245.48,245.37,245.38,700,10:14:00
79,20210603,245.32,245.44,245.32,245.4,1322,10:15:00
80,20210603,245.37,245.4,245.37,245.39,500,10:16:00
81,20210603,245.3,245.3,245.28,245.28,546,10:17:00
82,20210603,245.25,245.32,245.23,245.32,826,10:18:00
83,20210603,245.39,245.39,245.185,245.185,1312,10:19:00
84,20210603,245.215,245.215,245.14,245.16,436,10:20:00
85,20210603,245.19,245.23,245.15,245.15,1100,10:21:00
86,20210603,245.11,245.11,245.01,245.06,701,10:22:00
87,20210603,245.02,245.02,245.0,245.0,408,10:23:00
88,20210603,245.005,245.07,245.005,245.07,319,10:24:00
89,20210603,245.01,245.04,245.01,245.04,401,10:25:00
90,20210603,245.065,245.13,245.065,245.1,915,10:26:00
91,20210603,245.1,245.12,245.06,245.12,1215,10:27:00
92,20210603,245.14,245.26,245.11,245.25,1213,10:28:00
93,20210603,245.3,245.34,245.3,245.32,500,10:29:00
94,20210603,245.26,245.37,245.25,245.37,1016,10:30:00
95,20210603,245.34,245.34,245.17,245.17,651,10:31:00
96,20210603,245.23,245.32,245.23,245.32,420,10:32:00
97,20210603,245.31,245.36,245.3,245.36,596,10:33:00
98,20210603,245.3,245.3,245.3,245.3,181,10:34:00
99,20210603,245.36,245.36,245.32,245.32,1296,10:35:00
100,20210603,245.23,245.28,245.23,245.28,788,10:36:00
101,20210603,245.41,245.41,245.41,245.41,122,10:37:00
102,20210603,245.41,245.43,245.41,245.43,388,10:38:00
103,20210603,245.48,245.48,245.48,245.48,103,10:39:00
104,20210603,245.565,245.605,245.565,245.605,387,10:40:00
105,20210603,245.645,245.65,245.625,245.65,546,10:41:00
106,20210603,245.71,245.71,245.695,245.695,352,10:42:00
107,20210603,245.65,245.66,245.65,245.66,315,10:43:00
108,20210603,245.76,245.79,245.75,245.75,615,10:44:00
109,20210603,245.745,245.76,245.745,245.76,205,10:45:00
110,20210603,245.8,245.8,245.6,245.6,1082,10:46:00
111,20210603,245.57,245.6,245.54,245.6,815,10:47:00
112,20210603,245.58,245.59,245.58,245.59,204,10:48:00
113,20210603,245.52,245.52,245.5,245.51,400,10:49:00
114,20210603,245.5,245.56,245.5,245.56,858,10:50:00
115,20210603,245.54,245.54,245.42,245.42,1297,10:51:00
116,20210603,245.44,245.49,245.44,245.49,845,10:52:00
117,20210603,245.46,245.46,245.42,245.42,800,10:53:00
118,20210603,245.45,245.455,245.43,245.455,471,10:54:00
119,20210603,245.51,245.51,245.46,245.46,285,10:55:00
120,20210603,245.49,245.51,245.49,245.51,212,10:56:00
121,20210603,245.51,245.51,245.48,245.48,418,10:57:00
122,20210603,245.49,245.53,245.49,245.53,287,10:58:00
123,20210603,245.515,245.62,245.51,245.62,428,10:59:00
124,20210603,245.6,245.6,245.55,245.55,485,11:00:00
125,20210603,245.54,245.58,245.54,245.58,606,11:01:00
126,20210603,245.57,245.57,245.55,245.55,285,11:02:00
127,20210603,245.53,245.565,245.53,245.565,300,11:03:00
128,20210603,245.48,245.48,245.45,245.45,362,11:05:00
129,20210603,245.49,245.49,245.49,245.49,109,11:07:00
130,20210603,245.56,245.56,245.56,245.56,114,11:08:00
131,20210603,245.52,245.52,245.12,245.47,2942,11:09:00
132,20210603,245.62,245.62,245.58,245.58,596,11:10:00
133,20210603,245.39,245.42,245.39,245.42,529,11:11:00
134,20210603,245.4,245.45,245.4,245.44,995,11:12:00
135,20210603,245.55,245.55,245.52,245.52,235,11:13:00
136,20210603,245.53,245.53,245.4,245.4,216,11:14:00
137,20210603,245.37,245.37,245.37,245.37,428,11:15:00
