,DATE,OPEN,HIGH,LOW,CLOSE,VOL,HOUR
0,20210603,669.69,669.75,669.69,669.75,371,08:41:00
1,20210603,670.31,670.43,670.31,670.43,277,08:42:00
2,20210603,670.66,670.66,670.66,670.66,225,08:43:00
3,20210603,670.8,671.19,670.8,671.19,621,08:46:00
4,20210603,671.03,672.35,671.03,672.35,617,08:47:00
5,20210603,673.46,673.6,673.46,673.6,560,08:48:00
6,20210603,673.855,674.9,673.855,674.9,1219,08:49:00
7,20210603,675.68,675.68,674.49,674.49,1465,08:50:00
8,20210603,674.69,674.69,674.69,674.69,130,08:51:00
9,20210603,675.09,675.44,674.74,674.74,851,08:52:00
10,20210603,675.01,675.01,674.58,674.64,884,08:53:00
11,20210603,674.64,674.65,674.56,674.56,561,08:55:00
12,20210603,674.76,675.04,674.76,674.99,623,08:56:00
13,20210603,675.42,675.42,675.03,675.03,778,08:57:00
14,20210603,675.18,675.33,675.1,675.33,478,08:58:00
15,20210603,675.82,677.57,675.685,677.57,1219,08:59:00
16,20210603,677.64,677.65,677.08,677.08,600,09:00:00
17,20210603,676.54,677.65,676.54,677.65,953,09:01:00
18,20210603,677.68,678.15,677.62,678.15,1310,09:02:00
19,20210603,678.38,678.38,677.98,677.98,1099,09:03:00
20,20210603,678.65,679.15,678.65,679.15,2131,09:05:00
21,20210603,678.51,679.42,678.51,679.42,1038,09:06:00
22,20210603,679.64,679.64,679.64,679.64,329,09:07:00
23,20210603,679.05,679.05,678.85,678.85,831,09:08:00
24,20210603,678.965,678.965,677.72,678.12,1693,09:09:00
25,20210603,678.11,678.11,676.925,677.29,836,09:10:00
26,20210603,677.1,677.52,677.1,677.52,740,09:11:00
27,20210603,677.52,678.23,677.52,677.81,1486,09:12:00
28,20210603,677.67,678.47,677.67,678.47,465,09:13:00
29,20210603,678.72,679.4,678.72,679.4,1264,09:14:00
30,20210603,679.47,679.48,678.84,678.84,1397,09:15:00
31,20210603,678.04,678.04,677.855,677.86,655,09:16:00
32,20210603,677.83,677.83,677.62,677.62,645,09:17:00
33,20210603,677.53,677.53,677.53,677.53,180,09:18:00
34,20210603,677.25,677.25,677.17,677.17,584,09:19:00
35,20210603,677.48,677.74,677.48,677.66,686,09:20:00
36,20210603,677.03,677.03,676.91,676.91,723,09:21:00
37,20210603,677.045,677.06,676.37,676.37,1081,09:22:00
38,20210603,676.0,676.4,676.0,676.4,733,09:23:00
39,20210603,676.58,676.58,676.57,676.57,814,09:24:00
40,20210603,676.23,676.37,676.23,676.37,608,09:25:00
41,20210603,677.385,677.525,677.115,677.115,1352,09:26:00
42,20210603,676.1,676.1,675.9,676.03,536,09:27:00
43,20210603,676.3,676.645,676.3,676.645,612,09:28:00
44,20210603,676.9,677.85,676.9,676.9,1562,09:29:00
45,20210603,676.65,676.65,676.15,676.15,471,09:30:00
46,20210603,675.75,675.75,675.7,675.7,355,09:31:00
47,20210603,675.45,675.45,674.83,675.21,1111,09:32:00
48,20210603,675.13,675.13,675.08,675.08,200,09:33:00
49,20210603,675.17,675.18,674.48,674.48,762,09:34:00
