,DATE,OPEN,HIGH,LOW,CLOSE,VOL,HOUR
0,20210519,3.45,3.45,3.45,3.45,200,13:13:00
1,20210519,3.455,3.455,3.455,3.455,100,13:14:00
2,20210519,3.46,3.46,3.46,3.46,400,13:16:00
3,20210519,3.47,3.47,3.47,3.47,202,13:19:00
4,20210519,3.465,3.465,3.465,3.465,100,13:20:00
5,20210519,3.47,3.47,3.465,3.465,200,13:21:00
6,20210519,3.465,3.465,3.465,3.465,200,13:22:00
7,20210519,3.465,3.465,3.465,3.465,302,13:23:00
8,20210519,3.49,3.49,3.49,3.49,400,13:25:00
9,20210519,3.475,3.475,3.475,3.475,100,13:27:00
10,20210519,3.475,3.475,3.475,3.475,200,13:28:00
11,20210519,3.49,3.49,3.49,3.49,200,13:30:00
12,20210519,3.5,3.5,3.5,3.5,1400,13:31:00
13,20210519,3.465,3.465,3.465,3.465,200,13:34:00
14,20210519,3.465,3.465,3.455,3.455,200,13:35:00
15,20210519,3.46,3.46,3.46,3.46,100,13:37:00
16,20210519,3.465,3.465,3.46,3.46,500,13:38:00
17,20210519,3.465,3.465,3.465,3.465,300,13:39:00
18,20210519,3.465,3.465,3.465,3.465,100,13:40:00
19,20210519,3.465,3.465,3.465,3.465,200,13:41:00
20,20210519,3.465,3.465,3.465,3.465,600,13:42:00
21,20210519,3.46,3.46,3.46,3.46,100,13:43:00
22,20210519,3.46,3.46,3.455,3.455,1235,13:44:00
23,20210519,3.455,3.465,3.455,3.465,465,13:45:00
24,20210519,3.465,3.465,3.465,3.465,100,13:46:00
25,20210519,3.46,3.46,3.46,3.46,270,13:47:00
26,20210519,3.46,3.46,3.455,3.46,1300,13:48:00
27,20210519,3.465,3.465,3.465,3.465,100,13:49:00
28,20210519,3.465,3.47,3.465,3.465,944,13:50:00
29,20210519,3.465,3.465,3.465,3.465,300,13:51:00
30,20210519,3.47,3.47,3.47,3.47,700,13:52:00
31,20210519,3.47,3.47,3.47,3.47,100,13:53:00
32,20210519,3.47,3.47,3.47,3.47,500,13:54:00
33,20210519,3.475,3.48,3.475,3.48,1700,13:55:00
34,20210519,3.48,3.485,3.48,3.485,500,13:56:00
35,20210519,3.485,3.485,3.485,3.485,265,13:57:00
36,20210519,3.485,3.495,3.485,3.495,200,13:58:00
37,20210519,3.5,3.5,3.5,3.5,116,13:59:00
38,20210520,3.51,3.51,3.51,3.51,900,07:31:00
39,20210520,3.51,3.51,3.51,3.51,200,07:33:00
40,20210520,3.54,3.54,3.54,3.54,110,07:34:00
41,20210520,3.54,3.55,3.54,3.54,500,07:35:00
42,20210520,3.53,3.53,3.52,3.52,1800,07:36:00
43,20210520,3.54,3.54,3.54,3.54,100,07:37:00
44,20210520,3.48,3.48,3.48,3.48,900,07:38:00
45,20210520,3.48,3.49,3.48,3.49,200,07:39:00
46,20210520,3.53,3.53,3.53,3.53,100,07:43:00
47,20210520,3.52,3.52,3.52,3.52,100,07:45:00
48,20210520,3.54,3.54,3.54,3.54,100,07:47:00
49,20210520,3.55,3.55,3.54,3.54,1100,07:48:00
50,20210520,3.52,3.52,3.52,3.52,900,07:50:00
51,20210520,3.51,3.51,3.51,3.51,100,08:25:00
52,20210520,3.495,3.495,3.495,3.495,100,08:33:00
53,20210520,3.485,3.485,3.485,3.485,100,08:36:00
54,20210520,3.475,3.475,3.475,3.475,100,08:39:00
55,20210520,3.48,3.48,3.48,3.48,100,08:52:00
56,20210520,3.48,3.48,3.48,3.48,100,08:53:00
57,20210520,3.485,3.485,3.485,3.485,100,08:54:00
58,20210520,3.505,3.505,3.505,3.505,100,08:58:00
59,20210520,3.505,3.505,3.505,3.505,100,09:03:00
60,20210520,3.505,3.505,3.505,3.505,100,09:05:00
61,20210520,3.515,3.515,3.515,3.515,100,09:08:00
62,20210520,3.52,3.52,3.51,3.51,498,09:17:00
63,20210520,3.51,3.51,3.51,3.51,100,09:19:00
64,20210520,3.51,3.51,3.51,3.51,100,09:22:00
65,20210520,3.505,3.505,3.5,3.5,300,09:29:00
66,20210520,3.5,3.5,3.5,3.5,593,09:35:00
67,20210520,3.5,3.5,3.5,3.5,354,09:37:00
68,20210520,3.49,3.5,3.49,3.5,900,09:43:00
69,20210520,3.49,3.49,3.49,3.49,100,09:44:00
70,20210520,3.465,3.465,3.465,3.465,100,10:02:00
71,20210520,3.47,3.47,3.47,3.47,100,10:03:00
72,20210520,3.485,3.485,3.485,3.485,100,10:25:00
73,20210520,3.48,3.48,3.48,3.48,200,10:26:00
74,20210520,3.48,3.48,3.48,3.48,175,10:33:00
75,20210520,3.465,3.47,3.465,3.47,800,10:39:00
76,20210520,3.465,3.465,3.465,3.465,200,10:45:00
77,20210520,3.47,3.47,3.47,3.47,100,10:51:00
78,20210520,3.48,3.48,3.48,3.48,100,10:53:00
79,20210520,3.47,3.47,3.47,3.47,100,11:24:00
80,20210520,3.46,3.46,3.46,3.46,100,11:29:00
81,20210520,3.46,3.46,3.46,3.46,100,11:37:00
82,20210520,3.46,3.46,3.46,3.46,100,11:42:00
83,20210520,3.465,3.47,3.465,3.47,434,12:00:00
84,20210520,3.48,3.48,3.48,3.48,100,12:04:00
85,20210520,3.475,3.48,3.475,3.48,1200,12:05:00
86,20210520,3.49,3.49,3.49,3.49,100,12:09:00
87,20210520,3.49,3.49,3.49,3.49,100,12:12:00
88,20210520,3.5,3.5,3.5,3.5,500,12:22:00
89,20210520,3.515,3.515,3.515,3.515,100,12:27:00
90,20210520,3.525,3.525,3.525,3.525,100,12:31:00
91,20210520,3.53,3.53,3.53,3.53,100,12:36:00
92,20210520,3.53,3.53,3.53,3.53,100,12:41:00
93,20210520,3.55,3.55,3.55,3.55,100,12:52:00
94,20210520,3.55,3.55,3.55,3.55,100,12:53:00
95,20210520,3.55,3.55,3.55,3.55,100,12:54:00
96,20210520,3.56,3.56,3.56,3.56,100,13:01:00
97,20210520,3.56,3.56,3.56,3.56,100,13:09:00
98,20210520,3.565,3.565,3.56,3.56,400,13:10:00
99,20210520,3.56,3.56,3.56,3.56,100,13:19:00
100,20210520,3.56,3.56,3.56,3.56,100,13:21:00
101,20210520,3.56,3.56,3.56,3.56,100,13:23:00
102,20210520,3.56,3.56,3.56,3.56,200,13:31:00
103,20210520,3.57,3.57,3.57,3.57,300,13:32:00
104,20210520,3.535,3.535,3.535,3.535,100,13:36:00
105,20210520,3.54,3.54,3.54,3.54,105,13:39:00
106,20210520,3.54,3.54,3.54,3.54,200,13:40:00
107,20210520,3.535,3.535,3.535,3.535,100,13:41:00
108,20210520,3.53,3.53,3.53,3.53,100,13:43:00
109,20210520,3.54,3.54,3.54,3.54,154,13:44:00
110,20210520,3.54,3.54,3.54,3.54,100,13:47:00
111,20210520,3.53,3.53,3.53,3.53,100,13:49:00
112,20210520,3.525,3.525,3.525,3.525,100,13:50:00
113,20210520,3.53,3.53,3.53,3.53,223,13:53:00
114,20210520,3.535,3.535,3.535,3.535,176,13:59:00
115,20210521,3.51,3.51,3.51,3.51,200,07:31:00
116,20210521,3.56,3.56,3.56,3.56,200,07:50:00
117,20210521,3.53,3.53,3.53,3.53,700,07:53:00
118,20210521,3.55,3.55,3.55,3.55,100,08:03:00
119,20210521,3.475,3.475,3.475,3.475,200,08:56:00
120,20210521,3.485,3.485,3.485,3.485,100,09:15:00
121,20210521,3.47,3.47,3.47,3.47,100,09:31:00
122,20210521,3.47,3.47,3.47,3.47,100,09:38:00
123,20210521,3.465,3.47,3.465,3.47,200,09:43:00
124,20210521,3.48,3.48,3.48,3.48,100,09:45:00
125,20210521,3.515,3.52,3.515,3.52,1300,09:47:00
126,20210521,3.54,3.54,3.54,3.54,100,09:48:00
127,20210521,3.58,3.58,3.58,3.58,100,09:50:00
128,20210521,3.57,3.57,3.57,3.57,100,09:51:00
129,20210521,3.585,3.585,3.585,3.585,200,09:53:00
130,20210521,3.57,3.57,3.57,3.57,100,09:58:00
131,20210521,3.57,3.57,3.57,3.57,400,09:59:00
132,20210521,3.56,3.56,3.55,3.55,200,10:01:00
133,20210521,3.55,3.55,3.55,3.55,100,10:02:00
134,20210521,3.57,3.57,3.57,3.57,100,10:29:00
135,20210521,3.575,3.575,3.575,3.575,100,10:32:00
136,20210521,3.54,3.54,3.54,3.54,213,11:18:00
137,20210521,3.57,3.57,3.57,3.57,1200,11:33:00
138,20210521,3.585,3.585,3.585,3.585,100,11:53:00
139,20210521,3.585,3.585,3.585,3.585,152,12:05:00
140,20210521,3.6,3.6,3.6,3.6,100,12:19:00
141,20210521,3.6,3.6,3.6,3.6,100,12:23:00
142,20210521,3.6,3.6,3.6,3.6,100,12:27:00
143,20210521,3.59,3.59,3.59,3.59,100,12:31:00
144,20210521,3.6,3.6,3.6,3.6,393,13:03:00
145,20210521,3.595,3.595,3.595,3.595,200,13:05:00
146,20210521,3.595,3.595,3.595,3.595,300,13:10:00
147,20210521,3.59,3.59,3.59,3.59,100,13:19:00
148,20210521,3.58,3.58,3.57,3.57,900,13:22:00
149,20210521,3.59,3.59,3.59,3.59,300,13:27:00
150,20210521,3.56,3.56,3.56,3.56,100,13:44:00
151,20210521,3.56,3.56,3.56,3.56,100,13:45:00
152,20210521,3.575,3.575,3.575,3.575,100,13:53:00
153,20210521,3.575,3.575,3.575,3.575,100,13:54:00
